0 0 0|00000 00000 00000 00000 00000 

1 11000 2|01000 10000 00000 00000 00000 

2 21100 2|01100 10000 10000 00000 00000 
2 11110 4|01000 10000 00010 00100 00000 

3,22200,3|00000 00000 00011 00101 00110 
3,31110,2|00000 00001 00001 00001 01110 
3,22110,4|00000 00010 00001 01001 00110 
3,21111,4|01000 10000 00001 00001 00110 

4,32210,4|00000 00001 00011 00101 01110 
4,22211,5|01000 10000 00011 00101 00110 
4,41111,2|00001 00001 00001 00001 11110 
4,32111,4|00010 00001 00001 10001 01110 
4,22220,2|00000 00110 01001 01001 00110 
4,22211,4|00100 00010 10001 01001 00110 

5,33220,3|00000 00011 00011 01101 01110 
5,42211,4|00001 00001 00011 00101 11110 
5,33211,4|00010 00001 00011 10101 01110 
5,32221,5|01000 10001 00011 00101 01110 
5,32221,4|00110 00001 10001 10001 01110 
5,22222,5|01100 10010 10001 01001 00110 

