0 0 0|000000 000000 000000 000000 000000 000000 

1 110000 2|010000 100000 000000 000000 000000 000000 

2 211000 2|011000 100000 100000 000000 000000 000000 
2 111100 4|010000 100000 000100 001000 000000 000000 

3,222000,3|000000 000000 000000 000011 000101 000110 
3,311100,2|000000 000000 000001 000001 000001 001110 
3,221100,4|000000 000000 000010 000001 001001 000110 
3,211110,4|000000 001000 010000 000001 000001 000110 
3,111111,6|010000 100000 000100 001000 000001 000010 

4,322100,4|000000 000000 000001 000011 000101 001110 
4,222110,5|000000 001000 010000 000011 000101 000110 
4,411110,2|000000 000001 000001 000001 000001 011110 
4,321110,4|000000 000010 000001 000001 010001 001110 
4,311111,4|010000 100000 000001 000001 000001 001110 
4,222200,2|000000 000000 000110 001001 001001 000110 
4,222110,4|000000 000100 000010 010001 001001 000110 
4,221111,6|010000 100000 000010 000001 001001 000110 
4,221111,4|001000 001000 110000 000001 000001 000110 

5,332200,3|000000 000000 000011 000011 001101 001110 
5,422110,4|000000 000001 000001 000011 000101 011110 
5,332110,4|000000 000010 000001 000011 010101 001110 
5,322210,5|000000 001000 010001 000011 000101 001110 
5,322111,6|010000 100000 000001 000011 000101 001110 
5,222211,5|001000 001000 110000 000011 000101 000110 
5,511111,2|000001 000001 000001 000001 000001 111110 
5,421111,4|000010 000001 000001 000001 100001 011110 
5,322210,4|000000 000110 000001 010001 010001 001110 
5,331111,4|000010 000010 000001 000001 110001 001110 
5,322111,4|010000 100010 000001 000001 010001 001110 
5,222211,4|010000 100000 000110 001001 001001 000110 
5,222220,5|000000 001100 010010 010001 001001 000110 
5,222211,6|001000 000100 100010 010001 001001 000110 

6,333300,4|000000 000000 000111 001011 001101 001110 
6,432210,4|000000 000001 000011 000011 001101 011110 
6,333210,5|000000 000100 000011 010011 001101 001110 
6,332211,5|010000 100000 000011 000011 001101 001110 
6,422220,5|000000 001001 010001 000011 000101 011110 
6,522111,4|000001 000001 000001 000011 000101 111110 
6,432111,4|000010 000001 000001 000011 100101 011110 
6,422211,6|001000 000001 100001 000011 000101 011110 
6,332220,4|000000 001010 010001 000011 010101 001110 
6,333111,6|000100 000010 000001 100011 010101 001110 
6,332211,6|001000 000010 100001 000011 010101 001110 
6,322221,6|010000 101000 010001 000011 000101 001110 
6,222222,6|011000 101000 110000 000011 000101 000110 
6,422211,4|000110 000001 000001 100001 100001 011110 
6,332220,2|000000 001110 010001 010001 010001 001110 
6,322221,4|001000 000110 100001 010001 010001 001110 
6,332211,4|010000 100110 000001 010001 010001 001110 

7,433310,5|000000 000001 000111 001011 001101 011110 
7,333311,6|010000 100000 000111 001011 001101 001110 
7,442220,3|000000 000011 000011 000011 011101 011110 
7,433220,5|000000 000101 000011 010011 001101 011110 
7,532211,4|000001 000001 000011 000011 001101 111110 
7,442211,4|000010 000001 000011 000011 101101 011110 
7,433211,6|000100 000001 000011 100011 001101 011110 
7,432221,5|010000 100001 000011 000011 001101 011110 
7,333320,4|000000 001100 010011 010011 001101 001110 
7,433211,5|000100 000100 000011 110011 001101 001110 
7,333221,5|010000 100100 000011 010011 001101 001110 
7,522221,6|000001 001001 010001 000011 000101 111110 
7,432221,6|000010 001001 010001 000011 100101 011110 
7,422222,5|011000 100001 100001 000011 000101 011110 
7,333221,4|000100 001010 010001 100011 010101 001110 
7,333221,6|001000 001010 110001 000011 010101 001110 
7,332222,6|011000 100010 100001 000011 010101 001110 
7,432221,4|001110 000001 100001 100001 100001 011110 
7,332222,5|011000 100110 100001 010001 010001 001110 

