0 0 0|00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 

1 11000000 2|01000000 10000000 00000000 00000000 00000000 00000000 00000000 00000000 

2 21100000 2|01100000 10000000 10000000 00000000 00000000 00000000 00000000 00000000 
2 11110000 4|01000000 10000000 00010000 00100000 00000000 00000000 00000000 00000000 

3,22200000,3|00000000 00000000 00000000 00000000 00000000 00000011 00000101 00000110 
3,31110000,2|00000000 00000000 00000000 00000000 00000001 00000001 00000001 00001110 
3,22110000,4|00000000 00000000 00000000 00000000 00000010 00000001 00001001 00000110 
3,21111000,4|00000000 00000000 00000000 00001000 00010000 00000001 00000001 00000110 
3,11111100,6|00000000 00000000 00010000 00100000 00000100 00001000 00000001 00000010 

4,32210000,4|00000000 00000000 00000000 00000000 00000001 00000011 00000101 00001110 
4,22211000,5|00000000 00000000 00000000 00001000 00010000 00000011 00000101 00000110 
4,41111000,2|00000000 00000000 00000000 00000001 00000001 00000001 00000001 00011110 
4,32111000,4|00000000 00000000 00000000 00000010 00000001 00000001 00010001 00001110 
4,31111100,4|00000000 00000000 00010000 00100000 00000001 00000001 00000001 00001110 
4,22220000,2|00000000 00000000 00000000 00000000 00000110 00001001 00001001 00000110 
4,22211000,4|00000000 00000000 00000000 00000100 00000010 00010001 00001001 00000110 
4,22111100,6|00000000 00000000 00010000 00100000 00000010 00000001 00001001 00000110 
4,22111100,4|00000000 00000000 00001000 00001000 00110000 00000001 00000001 00000110 
4,21111110,6|00000000 00100000 01000000 00001000 00010000 00000001 00000001 00000110 
4,11111111,8|01000000 10000000 00010000 00100000 00000100 00001000 00000001 00000010 

5,33220000,3|00000000 00000000 00000000 00000000 00000011 00000011 00001101 00001110 
5,42211000,4|00000000 00000000 00000000 00000001 00000001 00000011 00000101 00011110 
5,33211000,4|00000000 00000000 00000000 00000010 00000001 00000011 00010101 00001110 
5,32221000,5|00000000 00000000 00000000 00001000 00010001 00000011 00000101 00001110 
